Student_Name,attendance_percentage,study_hours_per_week,homework_completion_rate,class_participation,quiz_average,midterm_score,final_score,math_score,science_score,english_score,overall_grade,stress_level,learning_style
Priya Choudhary,60.92,3.48,30.77,4,40.78,59.88,95.44,73.84,61.35,59.4,C,3,Visual
Meera Choudhary,86.42,12.11,64.06,5,81.72,40.58,62.94,61.51,90.54,42.21,B,3,Visual
Aarav Reddy,82.95,6.74,83.03,2,59.61,86.88,52.39,79.4,84.79,53.8,B,5,Visual
Vivaan Reddy,57.91,5.93,72.08,4,63.03,74.92,37.85,54.42,99.53,54.28,D,5,Visual
Aditya Reddy,59.79,16.11,64.81,2,61.42,74.89,71.79,51.5,76.81,60.14,C,3,Auditory
Arjun Reddy,66.45,9.89,68.75,2,47.01,33.74,73.88,95.09,67.8,96.61,B,1,Auditory
Krishna Reddy,87.85,8.18,73.35,5,97.52,82.8,62.26,46.11,45.4,88.29,B,4,Kinesthetic
Rohan Reddy,51.96,16.45,77.75,2,65.23,45.15,79.57,70.36,99.79,96.16,A,1,Visual
Rahul Reddy,70.35,18.3,54.93,2,56.89,77.92,64.64,53.25,73.09,99.92,C,2,Visual
Karthik Reddy,83.26,6.99,66.22,2,82.6,77.76,81.38,42.34,82.03,66.03,D,4,Auditory
Siddharth Reddy,58.57,1.96,49.15,3,84.04,36.35,39.35,42.16,64.4,53.62,B,4,Kinesthetic
Ananya Reddy,55.97,11.27,98.88,3,98.9,67.28,36.37,50.51,72.86,73.6,A,5,Visual
Diya Reddy,69.51,14.59,43.11,4,62.46,79.75,83.1,92.01,96.55,92.87,C,3,Visual
Isha Reddy,64.33,12.17,40.55,3,37.08,84.54,87.12,56.95,49.99,67.94,B,4,Visual
Kavya Reddy,82.45,14.07,48.82,4,83.77,58.88,45.05,97.03,57.54,70.32,B,4,Kinesthetic
Pooja Reddy,98.48,13.29,94.4,3,79.44,31.75,34.64,74.9,49.12,48.07,B,1,Visual
Sneha Reddy,50.22,19.16,76.12,5,33.82,79.13,34.72,66.2,87.53,65.23,D,3,Kinesthetic
Aditi Reddy,95.12,17.45,61.91,2,69.97,51.92,46.44,74.81,43.72,63.22,A,1,Auditory
Nisha Reddy,71.66,3.51,94.78,5,39.71,46.65,68.04,71.0,44.9,61.1,A,5,Kinesthetic
Priya Reddy,83.2,9.6,93.01,4,98.98,85.76,73.74,85.53,57.91,93.24,A,2,Visual
Meera Reddy,92.55,9.64,58.11,4,87.07,56.42,89.85,56.95,70.85,43.56,B,3,Auditory
Aarav Sharma,78.67,9.67,69.45,1,39.24,64.41,89.65,61.18,64.38,98.33,A,2,Visual
Vivaan Sharma,54.87,18.68,93.38,3,36.84,56.94,89.19,93.65,42.69,40.49,A,2,Auditory
Aditya Sharma,57.03,7.22,52.36,3,49.74,93.55,47.16,96.79,97.45,96.74,A,1,Visual
Arjun Sharma,89.46,12.67,58.53,5,48.07,59.72,67.94,93.55,97.17,72.88,A,5,Kinesthetic
Krishna Sharma,61.45,18.03,85.51,3,60.52,56.04,73.08,65.17,56.76,82.15,B,3,Visual
Rohan Sharma,78.45,1.96,78.9,5,30.77,44.99,63.19,86.82,83.89,51.23,D,5,Visual
Rahul Sharma,71.4,17.69,33.41,3,76.69,61.03,31.76,68.58,74.71,79.25,C,3,Auditory
Karthik Sharma,65.18,15.53,38.22,2,64.34,64.75,56.0,69.85,54.25,92.92,C,5,Auditory
Siddharth Sharma,89.35,4.95,89.24,4,33.84,76.45,39.85,52.28,55.73,48.37,B,2,Kinesthetic
Ananya Sharma,86.56,7.18,32.08,3,32.7,81.09,31.12,75.47,69.47,47.62,B,4,Visual
Diya Sharma,82.31,6.9,94.4,2,41.95,46.49,37.97,51.17,65.15,58.24,D,2,Kinesthetic
Isha Sharma,68.63,5.2,49.02,1,52.89,96.07,83.32,59.89,57.47,49.7,A,5,Auditory
Kavya Sharma,61.32,13.13,71.89,1,34.26,74.23,77.49,91.3,88.45,46.64,B,5,Visual
Pooja Sharma,75.79,19.67,69.52,5,52.81,37.16,66.74,52.42,68.89,80.7,A,1,Visual
Sneha Sharma,90.86,4.17,57.74,2,93.0,83.53,88.19,44.27,79.29,52.83,C,3,Visual
Aditi Sharma,78.78,5.41,32.2,1,66.34,79.07,58.67,44.14,51.36,80.02,B,4,Visual
Nisha Sharma,98.51,6.52,43.47,5,30.74,78.48,50.99,96.45,72.01,91.72,A,4,Auditory
Priya Sharma,50.77,18.81,73.05,5,75.3,84.78,58.64,70.42,59.08,79.12,C,5,Auditory
Meera Sharma,99.92,12.89,61.25,1,94.1,74.77,39.92,64.56,71.58,47.16,B,5,Visual
Aarav Patel,84.57,5.04,58.97,1,42.24,31.18,75.5,88.65,86.85,74.41,C,3,Visual
Vivaan Patel,91.63,16.28,36.84,3,62.22,76.15,64.04,90.15,86.13,63.62,B,3,Kinesthetic
Aditya Patel,66.75,18.53,54.3,4,54.17,86.06,97.56,59.93,61.25,60.6,A,5,Auditory
Arjun Patel,75.42,8.67,66.85,1,33.34,68.33,75.42,81.62,81.66,59.11,D,1,Kinesthetic
Krishna Patel,89.85,4.28,35.44,3,47.64,42.84,76.14,86.27,96.48,95.77,A,5,Visual
Rohan Patel,88.03,6.89,34.67,5,53.87,77.08,77.32,79.28,77.54,84.55,C,1,Visual
Rahul Patel,66.7,5.13,64.41,5,88.83,33.29,38.87,49.1,48.9,48.03,C,4,Auditory
Karthik Patel,66.22,4.83,69.29,2,44.21,62.19,93.69,92.55,80.78,68.56,C,5,Visual
Siddharth Patel,83.14,4.24,48.03,2,76.83,63.51,58.24,72.35,46.29,59.09,C,2,Visual
Ananya Patel,96.68,17.64,52.8,3,65.16,98.75,47.91,56.95,92.33,98.68,A,4,Kinesthetic
Diya Patel,71.94,2.63,85.78,1,30.64,42.65,32.63,65.51,71.0,98.68,B,3,Visual
Isha Patel,67.65,8.85,90.85,5,75.99,67.77,80.46,42.25,63.11,59.17,D,3,Visual
Kavya Patel,94.73,1.28,52.77,5,88.36,78.56,74.21,47.67,43.42,61.13,D,1,Visual
Pooja Patel,84.15,6.57,54.9,2,61.19,31.03,55.78,85.93,62.85,75.96,B,1,Visual
Sneha Patel,69.41,14.43,88.12,3,43.23,93.24,54.28,40.0,94.19,68.76,C,1,Visual
Aditi Patel,52.86,4.85,98.17,1,83.77,78.83,71.01,64.99,41.26,52.79,A,3,Auditory
Nisha Patel,86.07,19.98,52.44,1,31.33,73.74,35.55,71.35,68.48,79.62,A,2,Visual
Priya Patel,67.64,1.92,85.21,2,65.44,74.95,96.7,43.28,95.87,60.05,B,3,Visual
Meera Patel,53.53,3.59,63.58,1,32.9,38.06,47.78,98.38,63.69,79.22,C,4,Kinesthetic
Aarav Gupta,80.61,15.95,48.46,3,91.25,97.06,52.66,53.57,65.69,63.02,C,3,Auditory
Vivaan Gupta,66.15,19.54,77.72,5,98.93,60.92,54.47,58.25,74.71,82.01,D,3,Auditory
Aditya Gupta,66.92,19.13,62.38,2,99.39,70.06,87.89,58.24,67.78,80.07,C,1,Auditory
Arjun Gupta,73.96,16.17,48.77,1,40.83,47.76,34.08,53.82,50.12,70.53,B,2,Auditory
Krishna Gupta,85.87,19.49,37.51,5,73.89,37.8,62.76,40.09,41.11,82.28,C,5,Visual
Rohan Gupta,63.82,16.98,90.69,4,71.23,85.15,86.24,83.76,76.59,67.66,B,5,Auditory
Rahul Gupta,54.05,2.1,91.51,2,57.88,71.1,89.65,98.01,95.25,46.97,B,5,Kinesthetic
Karthik Gupta,71.22,17.07,35.25,2,86.4,57.31,72.49,53.46,46.38,50.93,A,2,Auditory
Siddharth Gupta,52.75,10.19,76.44,4,85.63,41.09,55.27,79.78,52.66,54.76,C,3,Visual
Ananya Gupta,84.86,9.68,41.38,3,89.7,58.48,75.7,84.51,62.21,43.79,C,1,Visual
Diya Gupta,97.96,1.05,75.24,2,85.37,30.21,48.49,90.91,88.52,82.68,B,1,Visual
Isha Gupta,82.94,12.78,93.53,5,69.04,98.19,39.99,65.36,56.16,62.04,B,4,Kinesthetic
Kavya Gupta,63.77,13.76,48.22,5,67.47,74.31,46.02,58.18,92.92,45.61,B,2,Auditory
Pooja Gupta,59.09,16.02,54.36,2,38.05,50.17,80.22,59.52,43.3,89.2,B,1,Kinesthetic
Sneha Gupta,61.64,7.19,85.66,3,90.4,90.48,87.92,82.76,96.46,81.02,B,4,Visual
Aditi Gupta,61.08,3.43,81.48,4,89.59,36.59,49.76,89.01,73.64,67.13,B,1,Visual
Nisha Gupta,65.69,9.36,58.61,2,90.61,45.52,89.58,50.9,79.53,54.85,B,4,Visual
Priya Gupta,54.87,7.88,89.4,2,31.97,52.56,75.29,62.26,62.06,49.1,B,3,Kinesthetic
Meera Gupta,94.79,15.31,94.44,3,47.16,93.22,54.58,94.12,86.92,67.5,C,4,Visual
Aarav Singh,94.26,5.36,61.69,3,59.83,47.81,98.43,88.4,49.99,93.11,B,5,Auditory
Vivaan Singh,80.76,3.63,32.76,5,48.13,59.29,40.27,99.09,42.93,51.3,A,3,Auditory
Aditya Singh,53.1,9.36,65.66,3,85.54,73.17,86.34,85.25,63.73,74.12,C,3,Visual
Arjun Singh,90.2,12.93,81.78,5,38.79,84.14,75.82,63.59,91.22,97.7,B,2,Kinesthetic
Krishna Singh,53.09,6.34,45.4,2,71.03,76.44,97.73,75.44,85.3,78.23,B,2,Auditory
Rohan Singh,55.32,3.17,36.96,3,78.34,77.77,88.51,79.66,71.03,66.4,C,4,Visual
Rahul Singh,66.26,9.34,49.97,3,81.59,81.99,61.89,44.71,74.33,82.98,B,4,Kinesthetic
Karthik Singh,71.57,19.28,30.81,4,72.55,71.1,88.16,72.67,47.79,89.47,C,4,Auditory
Siddharth Singh,67.69,19.38,80.08,5,62.89,65.55,30.04,82.56,90.44,75.43,A,1,Visual
Ananya Singh,58.26,14.47,40.22,5,44.02,88.1,33.51,50.04,87.22,92.31,D,3,Auditory
Diya Singh,55.61,15.77,80.66,3,48.26,79.93,64.71,86.84,79.39,70.88,C,5,Auditory
Isha Singh,92.97,4.87,46.42,2,35.28,63.44,76.46,75.03,67.97,89.8,A,4,Kinesthetic
Kavya Singh,68.16,8.12,99.44,3,60.8,89.4,33.82,97.13,97.87,97.12,B,3,Visual
Pooja Singh,60.93,12.49,67.23,5,31.17,42.31,84.12,42.55,92.74,70.07,B,1,Visual
Sneha Singh,74.35,15.26,32.89,4,47.7,91.83,81.55,55.92,78.67,76.3,D,1,Kinesthetic
Aditi Singh,51.84,4.17,84.09,5,81.29,41.87,38.0,76.09,62.31,76.57,D,5,Kinesthetic
Nisha Singh,80.01,9.69,58.71,2,69.68,47.32,62.69,57.79,77.08,86.89,B,4,Auditory
Priya Singh,62.42,4.09,72.51,2,82.46,48.53,58.27,82.87,74.53,89.38,A,5,Visual
Meera Singh,79.91,13.03,96.58,4,49.72,34.48,64.81,85.54,63.65,41.63,A,1,Visual
Aarav Kumar,80.71,15.67,66.21,2,77.36,50.9,35.88,46.15,58.4,84.0,A,3,Visual
Vivaan Kumar,90.46,16.83,86.31,2,83.11,49.38,46.86,70.83,64.42,87.03,A,3,Auditory
Aditya Kumar,61.5,14.91,51.2,1,75.96,71.28,99.87,70.53,74.43,82.03,A,4,Visual
Arjun Kumar,73.17,4.02,80.02,5,61.79,71.87,73.33,62.16,65.69,82.82,D,1,Auditory
Krishna Kumar,98.09,16.74,36.95,2,43.26,68.42,75.54,95.98,55.81,42.48,C,4,Kinesthetic
Rohan Kumar,86.36,7.35,92.53,1,87.13,74.08,71.49,89.65,85.66,66.52,B,5,Kinesthetic
Rahul Kumar,98.77,16.88,43.98,5,82.92,32.81,81.43,81.83,71.89,89.09,A,5,Auditory
Karthik Kumar,96.37,5.77,51.14,1,82.7,78.92,84.67,82.86,44.06,96.04,B,2,Visual
Siddharth Kumar,80.54,10.04,97.07,1,93.17,96.41,30.79,67.7,62.1,53.77,B,4,Auditory
Ananya Kumar,63.2,11.95,40.86,3,91.63,74.24,59.43,95.26,93.09,74.75,A,2,Kinesthetic
Diya Kumar,87.85,1.66,47.81,4,50.12,49.46,97.92,81.68,85.31,88.26,C,5,Auditory
Isha Kumar,84.91,18.17,70.61,1,33.01,51.66,75.8,83.74,59.39,85.14,C,2,Auditory
Kavya Kumar,79.44,10.72,98.65,2,95.1,83.62,92.35,91.7,96.29,77.13,B,3,Visual
Pooja Kumar,84.89,4.65,78.4,4,55.09,37.8,56.54,56.44,44.6,41.12,C,2,Auditory
Sneha Kumar,80.68,4.06,37.99,1,98.19,56.09,37.85,88.42,97.67,83.43,D,1,Visual
Aditi Kumar,75.97,14.04,82.37,2,82.02,43.33,41.94,51.71,54.74,86.39,C,1,Auditory
Nisha Kumar,70.8,2.55,59.84,2,54.13,44.01,53.8,60.72,40.55,83.37,B,3,Auditory
Priya Kumar,52.24,9.36,99.46,1,71.06,30.25,96.53,60.14,66.03,85.95,A,1,Visual
Meera Kumar,93.28,11.27,74.01,1,94.83,92.13,97.84,98.71,61.54,65.85,B,2,Auditory
Aarav Mehta,93.28,5.43,67.24,1,38.28,52.2,90.32,91.39,72.35,99.63,C,3,Visual
Vivaan Mehta,79.7,3.45,69.01,5,80.1,57.09,69.2,82.07,87.81,86.25,B,1,Kinesthetic
Aditya Mehta,63.39,10.32,74.91,1,51.2,31.79,69.32,83.62,90.55,74.72,A,3,Kinesthetic
Arjun Mehta,51.41,7.47,81.23,4,36.89,36.65,88.45,73.72,64.07,96.05,D,4,Auditory
Krishna Mehta,50.07,3.66,35.48,3,56.4,45.57,33.97,96.83,65.79,94.49,D,1,Auditory
Rohan Mehta,53.65,5.0,39.15,1,48.15,41.99,59.49,69.78,48.89,88.87,B,5,Visual
Rahul Mehta,67.99,9.95,51.03,1,33.89,88.76,73.85,62.83,42.85,73.82,B,5,Visual
Karthik Mehta,59.42,3.53,63.46,5,98.09,96.61,36.7,49.78,78.47,71.63,C,2,Visual
Siddharth Mehta,63.25,18.79,51.77,4,50.76,95.47,36.04,87.17,43.87,59.72,C,3,Auditory
Ananya Mehta,84.98,15.73,44.97,2,60.59,44.95,46.24,84.07,84.03,55.05,A,3,Auditory
Diya Mehta,97.96,7.19,94.75,1,83.48,38.87,70.93,63.06,72.35,70.74,B,1,Visual
Isha Mehta,60.34,5.91,32.28,2,33.5,76.2,88.64,41.51,51.91,74.67,B,4,Auditory
Kavya Mehta,73.28,17.61,95.71,3,68.18,49.55,72.1,90.34,72.37,54.67,C,5,Auditory
Pooja Mehta,99.57,9.11,93.51,1,85.39,33.95,76.49,40.69,50.98,95.36,C,1,Auditory
Sneha Mehta,96.58,17.39,77.86,3,89.16,69.37,52.41,82.22,66.32,73.44,B,3,Visual
Aditi Mehta,67.62,15.11,32.28,2,79.38,48.65,58.4,98.22,87.97,71.59,A,4,Visual
Nisha Mehta,65.98,2.75,45.77,1,57.43,52.32,85.02,66.26,67.72,66.14,D,4,Auditory
Priya Mehta,62.11,16.46,98.54,1,69.33,71.64,84.65,54.1,48.92,43.48,B,4,Visual
Meera Mehta,57.77,11.26,93.42,4,42.66,78.81,99.29,82.29,83.43,92.94,B,1,Visual
Aarav Iyer,73.0,13.87,97.52,4,72.65,37.7,30.49,89.03,51.21,59.02,D,5,Kinesthetic
Vivaan Iyer,67.06,5.16,99.73,1,37.59,33.55,79.76,72.79,84.31,78.55,B,2,Auditory
Aditya Iyer,87.24,1.01,34.47,3,90.91,87.73,98.04,98.02,68.76,76.45,C,2,Auditory
Arjun Iyer,61.84,7.34,69.96,5,96.96,48.77,93.85,43.1,67.22,75.07,B,2,Kinesthetic
Krishna Iyer,86.82,4.62,88.39,3,50.11,66.8,55.55,70.29,91.09,71.54,B,4,Auditory
Rohan Iyer,64.41,9.27,52.38,4,44.58,84.95,63.16,83.11,82.52,50.89,B,2,Kinesthetic
Rahul Iyer,79.64,2.73,60.49,4,68.11,33.85,63.37,91.76,41.97,56.84,C,4,Visual
Karthik Iyer,81.92,18.01,49.86,5,95.73,84.13,73.42,50.76,57.77,71.45,C,4,Kinesthetic
Siddharth Iyer,83.59,3.26,32.67,4,59.01,69.09,57.3,88.0,92.26,87.36,C,3,Visual
Ananya Iyer,58.77,15.52,35.09,4,37.09,37.39,39.33,73.16,41.1,65.92,D,5,Auditory
Diya Iyer,64.14,18.85,31.5,2,95.52,77.34,88.9,63.79,72.72,52.24,C,4,Auditory
Isha Iyer,62.31,3.82,66.91,5,44.84,35.11,69.82,47.9,83.67,45.28,C,2,Kinesthetic
Kavya Iyer,78.81,7.58,73.29,4,73.42,51.78,96.95,91.92,77.31,79.78,A,2,Visual
Pooja Iyer,53.79,14.89,51.54,3,92.36,67.51,48.75,49.44,85.63,65.4,D,4,Kinesthetic
Sneha Iyer,75.91,14.57,87.83,4,70.5,77.19,70.88,58.59,83.54,47.52,A,1,Visual
Aditi Iyer,54.37,1.71,92.16,1,36.96,48.37,36.45,57.4,81.52,80.47,B,5,Kinesthetic
Nisha Iyer,66.85,2.34,39.78,5,73.38,42.62,44.95,92.28,89.29,52.45,D,5,Auditory
Priya Iyer,84.34,3.28,33.63,3,31.81,81.82,80.61,80.36,78.74,70.54,A,5,Visual
Meera Iyer,70.63,11.79,52.36,1,37.69,58.6,71.77,87.8,64.15,58.37,D,4,Visual
Aarav Nair,64.02,2.05,79.91,1,80.07,44.23,98.75,55.03,68.31,95.9,C,3,Visual
Vivaan Nair,80.79,12.18,65.52,2,86.7,71.61,54.51,77.49,83.0,53.7,B,3,Visual
Aditya Nair,87.01,7.51,64.17,2,72.05,57.6,66.85,74.3,92.58,65.2,B,2,Auditory
Arjun Nair,62.73,13.72,40.67,3,65.74,73.38,99.96,89.97,56.33,97.57,C,2,Visual
Krishna Nair,64.97,15.86,54.6,5,30.94,84.75,32.84,94.37,60.52,59.12,C,1,Visual
Rohan Nair,82.01,16.04,97.12,3,83.69,31.41,72.39,40.73,95.84,78.68,B,2,Kinesthetic
Rahul Nair,98.26,1.72,53.84,1,84.36,54.89,98.36,80.44,74.71,59.0,D,1,Visual
Karthik Nair,60.69,19.0,71.4,2,82.7,54.57,49.76,43.11,50.74,46.64,B,2,Kinesthetic
Siddharth Nair,82.71,12.15,34.08,1,69.73,92.97,30.19,72.93,79.82,77.65,C,3,Visual
Ananya Nair,95.33,18.02,34.47,1,92.18,99.79,46.83,57.26,99.45,94.96,D,1,Visual
Diya Nair,73.1,12.69,59.7,2,86.75,75.7,63.99,58.41,89.41,67.15,A,5,Visual
Isha Nair,65.84,10.2,72.29,2,43.9,58.55,39.36,61.18,84.74,77.57,B,1,Kinesthetic
Kavya Nair,83.34,14.86,56.06,5,38.13,60.81,68.87,77.28,52.48,76.53,C,1,Visual
Pooja Nair,51.57,5.17,42.53,1,31.25,76.45,82.33,60.04,92.57,64.91,A,2,Visual
Sneha Nair,68.01,2.96,81.52,2,44.95,71.6,40.68,83.96,71.55,76.89,A,5,Kinesthetic
Aditi Nair,62.9,2.72,39.8,3,81.56,90.16,57.21,64.27,93.36,55.56,D,4,Auditory
Nisha Nair,61.23,17.13,76.76,1,63.3,79.97,62.28,44.1,59.79,62.68,A,2,Visual
Priya Nair,58.99,18.34,96.97,5,78.72,39.38,75.15,87.03,43.72,66.54,A,3,Auditory
Meera Nair,86.85,16.47,62.94,5,86.29,88.71,75.99,57.15,68.56,91.84,C,5,Visual
Aarav Choudhary,97.75,18.18,44.03,1,55.43,50.37,67.86,65.97,56.19,60.9,C,5,Auditory
Vivaan Choudhary,69.24,19.71,88.94,4,91.42,83.33,32.89,81.13,82.91,78.11,C,4,Visual
Aditya Choudhary,52.46,11.0,65.38,1,84.8,33.88,65.58,59.95,97.43,52.8,C,5,Kinesthetic
Arjun Choudhary,85.95,3.92,94.63,3,71.84,51.93,32.29,43.4,81.46,55.15,B,2,Visual
Krishna Choudhary,76.91,12.55,80.44,5,78.29,80.67,89.23,62.44,93.22,78.91,B,3,Kinesthetic
Rohan Choudhary,86.18,7.72,60.14,2,50.4,98.38,81.61,96.67,67.18,85.74,C,3,Kinesthetic
Rahul Choudhary,82.4,7.58,73.22,2,82.41,58.13,61.73,78.5,86.3,67.73,B,4,Visual
Karthik Choudhary,95.27,14.83,41.9,1,40.59,47.03,69.23,80.29,90.58,60.11,A,2,Auditory
Siddharth Choudhary,57.02,2.72,57.11,2,41.51,90.98,58.08,77.94,82.65,94.62,C,2,Kinesthetic
Ananya Choudhary,58.46,1.71,71.57,1,74.26,88.89,83.07,51.94,70.47,48.15,D,2,Kinesthetic
Diya Choudhary,67.08,14.21,71.3,4,45.74,68.11,96.94,65.1,77.55,83.24,A,4,Kinesthetic
Isha Choudhary,74.57,5.95,71.11,2,59.79,48.66,82.27,85.06,82.03,81.41,A,1,Kinesthetic
Kavya Choudhary,96.29,8.32,82.05,3,68.85,51.6,61.34,46.08,55.19,81.41,B,3,Kinesthetic
Pooja Choudhary,95.35,6.85,37.4,3,77.78,64.22,39.01,56.67,88.57,96.13,C,4,Auditory
Sneha Choudhary,93.59,12.68,35.16,5,89.6,98.75,49.68,56.58,97.02,83.69,B,1,Auditory
Aditi Choudhary,61.13,3.94,40.36,2,66.91,37.77,69.82,65.92,67.91,58.09,A,2,Auditory
Nisha Choudhary,86.48,14.69,85.47,1,67.22,55.47,32.41,98.82,82.06,61.2,A,2,Kinesthetic
Priya Choudhary,69.17,18.57,34.54,4,82.66,90.27,73.63,44.05,84.22,63.47,A,2,Auditory
Meera Choudhary,96.56,16.89,45.77,3,87.61,97.32,51.49,71.12,79.73,41.85,C,2,Kinesthetic
Aarav Reddy,60.73,18.23,47.83,5,38.23,33.54,43.88,50.76,72.83,94.81,C,5,Visual
Vivaan Reddy,57.06,18.8,75.31,1,38.25,71.25,69.32,98.24,92.9,44.41,A,4,Visual
Aditya Reddy,92.12,8.07,58.11,3,69.45,72.3,64.34,46.8,66.94,81.99,D,4,Kinesthetic
Arjun Reddy,85.85,16.12,43.93,2,62.59,65.32,58.78,64.22,43.67,83.81,A,3,Kinesthetic
Krishna Reddy,91.07,10.4,61.47,5,65.1,33.02,50.11,84.27,90.67,90.62,A,2,Kinesthetic
Rohan Reddy,57.9,6.13,77.98,5,44.23,52.23,55.13,82.27,80.44,73.2,B,3,Auditory
Rahul Reddy,94.24,15.19,85.02,1,90.17,60.82,46.48,65.36,90.96,83.52,C,1,Auditory
Karthik Reddy,83.88,5.64,38.67,5,42.51,64.14,97.32,60.79,48.31,58.16,D,3,Visual
Siddharth Reddy,82.58,3.08,80.03,3,49.33,97.59,81.24,63.86,41.85,84.74,A,5,Auditory
Ananya Reddy,79.13,14.39,30.32,1,46.03,51.34,49.95,55.86,96.06,60.6,D,2,Kinesthetic
Diya Reddy,88.24,6.46,80.7,3,89.19,34.14,70.7,52.32,48.86,94.17,B,2,Kinesthetic
Isha Reddy,70.78,6.81,76.27,3,42.54,38.41,48.01,68.98,88.58,49.8,A,5,Auditory
Kavya Reddy,56.64,17.74,62.81,2,88.84,54.68,34.06,56.11,89.39,58.95,B,2,Visual
Pooja Reddy,76.96,3.58,39.58,5,95.52,84.49,52.82,57.25,82.52,69.93,B,2,Kinesthetic
Sneha Reddy,87.41,15.53,83.52,2,66.06,72.5,39.42,79.41,47.88,86.55,D,1,Visual
Aditi Reddy,57.68,8.34,35.02,4,50.3,84.74,82.54,98.11,80.04,84.93,B,4,Auditory
Nisha Reddy,61.2,17.97,92.69,4,37.02,94.29,95.72,76.22,93.35,52.64,C,2,Kinesthetic
Priya Reddy,84.83,9.37,84.14,2,33.74,38.46,49.86,44.62,65.53,48.65,A,2,Kinesthetic
Meera Reddy,63.48,8.77,81.87,4,72.35,66.91,94.75,44.54,64.81,58.24,B,2,Visual
Aarav Sharma,58.5,9.17,82.81,4,33.98,73.73,84.81,97.09,66.57,69.03,C,2,Auditory
Vivaan Sharma,94.47,16.92,34.73,2,98.98,59.18,81.65,57.84,44.94,72.34,C,1,Visual
Aditya Sharma,58.04,1.2,99.3,2,45.85,61.7,34.22,45.52,93.52,65.75,B,3,Visual
Arjun Sharma,67.21,14.39,90.1,2,96.69,35.9,53.26,75.94,92.15,79.79,B,4,Visual
Krishna Sharma,71.42,4.9,65.56,4,87.98,34.11,72.5,77.42,99.87,65.65,D,4,Visual
Rohan Sharma,73.81,17.76,80.36,5,48.92,33.01,92.16,78.91,75.11,96.78,C,3,Visual
Rahul Sharma,68.07,8.14,81.75,3,59.43,75.9,52.21,56.04,85.07,55.66,A,2,Visual
Karthik Sharma,95.63,7.44,88.08,3,99.23,37.06,65.49,40.91,52.16,77.64,B,4,Visual
Siddharth Sharma,82.93,14.54,47.88,5,47.12,55.79,74.55,97.9,80.05,76.68,A,5,Auditory
Ananya Sharma,67.97,14.73,56.04,2,63.79,94.2,41.43,55.05,78.98,56.89,B,5,Visual
Diya Sharma,67.89,13.04,85.98,1,75.2,41.74,62.26,80.56,94.07,64.7,C,2,Auditory
Isha Sharma,75.15,7.27,83.83,1,79.66,63.1,74.12,82.4,89.85,61.93,B,5,Visual
Kavya Sharma,51.68,12.6,66.58,2,61.7,81.06,38.58,76.6,96.31,50.35,C,4,Visual
Pooja Sharma,96.33,2.03,57.73,3,46.27,47.33,44.19,58.77,92.13,68.64,B,3,Auditory
Sneha Sharma,61.17,19.15,97.79,1,84.75,31.53,36.42,56.27,92.12,63.2,A,2,Auditory
Aditi Sharma,84.88,9.6,59.05,5,57.13,84.45,72.91,75.86,43.82,50.7,B,4,Auditory
Nisha Sharma,88.89,6.79,83.48,1,94.27,81.01,89.69,91.97,90.76,66.99,A,3,Kinesthetic
Priya Sharma,91.37,17.35,58.88,5,56.44,98.6,59.02,96.8,76.45,65.31,C,4,Visual
Meera Sharma,58.28,7.16,51.69,1,57.55,72.45,70.11,46.35,62.83,47.88,C,2,Kinesthetic
Aarav Patel,76.83,19.95,74.87,3,82.77,51.64,95.98,49.29,43.39,47.87,B,5,Visual
Vivaan Patel,54.18,14.12,86.53,2,52.48,39.08,97.22,96.68,80.66,78.85,D,3,Kinesthetic
Aditya Patel,90.24,13.34,98.7,1,77.88,36.92,70.66,84.19,59.69,82.39,A,5,Auditory
Arjun Patel,74.32,3.89,40.42,1,84.06,74.65,72.75,92.98,68.07,96.47,A,1,Kinesthetic
Krishna Patel,57.92,12.59,91.33,2,55.1,54.45,66.96,52.16,80.9,45.22,A,3,Visual
Rohan Patel,85.93,3.95,66.69,5,37.78,88.23,53.41,75.26,94.71,47.07,B,3,Visual
Rahul Patel,66.56,15.89,37.54,1,79.7,38.72,43.41,82.07,89.53,43.11,C,4,Visual
Karthik Patel,55.73,3.63,85.61,4,80.42,97.48,59.52,80.81,67.04,71.93,B,4,Auditory
Siddharth Patel,73.05,7.82,53.21,5,85.45,34.19,97.46,64.49,63.27,77.36,B,2,Visual
Ananya Patel,61.76,10.06,90.78,5,47.95,84.73,64.25,40.92,54.39,64.21,B,5,Visual
Diya Patel,97.51,16.3,41.05,5,47.42,84.45,55.79,74.98,62.35,87.87,D,1,Visual
Isha Patel,68.07,13.02,79.78,4,59.28,72.92,75.86,55.19,46.66,81.2,A,4,Visual
Kavya Patel,78.62,15.21,51.06,4,88.88,99.48,71.91,67.02,98.27,99.15,A,4,Kinesthetic
Pooja Patel,97.42,5.64,48.01,3,58.12,30.32,62.14,97.45,74.44,48.27,D,4,Visual
Sneha Patel,69.69,5.51,33.52,3,76.2,62.56,72.26,63.94,47.67,43.5,C,5,Visual
Aditi Patel,67.91,8.23,63.73,3,54.56,37.4,77.26,90.39,61.17,56.49,B,1,Visual
Nisha Patel,58.12,1.35,57.41,2,69.96,66.04,84.51,51.31,72.82,41.14,A,2,Kinesthetic
Priya Patel,96.92,16.78,34.32,4,30.82,43.69,53.77,80.35,71.97,95.96,B,1,Visual
